JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,4988,2311,2677,1210,3778,2.95,2.96,2.94
ARAD,2642,1344,1298,852,1790,1.26,1.39,1.15
ARGES,7796,3766,4030,1920,5876,3.05,3.14,2.97
BACAU,6431,2710,3721,1146,5285,2.99,2.88,3.08
BIHOR,2808,1409,1399,1029,1779,1.06,1.18,0.96
BISTRITA NASAUD,4015,1974,2041,1506,2509,3.10,3.49,2.80
BOTOSANI,2833,1322,1511,569,2264,2.07,2.06,2.08
BRAILA,3315,1359,1956,390,2925,2.72,2.50,2.90
BRASOV,5349,2600,2749,822,4527,2.05,2.33,1.84
BUZAU,8070,3380,4690,1073,6997,4.71,4.29,5.08
CALARASI,2941,1390,1551,498,2443,3.26,3.20,3.31
CARAS-SEVERIN,2287,1048,1239,880,1407,2.16,2.28,2.07
CLUJ,4107,2057,2050,1017,3090,1.10,1.25,0.97
CONSTANTA,5171,2951,2220,1589,3582,1.75,2.30,1.33
COVASNA,3834,1889,1945,417,3417,4.50,4.76,4.27
DAMBOVITA,4701,2303,2398,809,3892,2.43,2.89,2.11
DOLJ,15022,6379,8643,1609,13413,5.63,5.29,5.90
GALATI,10225,4607,5618,937,9288,5.44,5.45,5.43
GIURGIU,1942,1039,903,304,1638,2.40,2.81,2.06
GORJ,3730,1767,1963,1131,2599,2.75,2.83,2.69
HARGHITA,4552,2088,2464,860,3692,3.35,3.54,3.20
HUNEDOARA,6316,3125,3191,2738,3578,3.69,3.94,3.48
IALOMITA,3626,1660,1966,600,3026,3.89,3.90,3.89
IASI,8072,3541,4531,720,7352,2.71,2.60,2.80
ILFOV,935,549,386,270,665,0.44,0.62,0.32
MARAMURES,3352,1689,1663,938,2414,1.68,1.86,1.53
MEHEDINTI,5322,2243,3079,744,4578,5.27,4.76,5.71
BUCURESTI,13537,7163,6374,1470,12067,1.10,1.17,1.03
MURES,5560,2499,3061,801,4759,2.36,2.47,2.28
NEAMT,5495,2397,3098,997,4498,3.03,2.98,3.07
OLT,7094,3101,3993,880,6214,4.43,4.28,4.55
PRAHOVA,5687,2884,2803,1593,4094,1.95,2.36,1.65
SALAJ,4237,1784,2453,678,3559,4.07,3.90,4.20
SATU MARE,4411,1970,2441,457,3954,3.02,2.91,3.11
SIBIU,3457,1562,1895,915,2542,1.76,1.82,1.71
SUCEAVA,9984,4197,5787,2361,7623,4.34,4.04,4.59
TELEORMAN,8197,3380,4817,1006,7191,5.88,5.07,6.62
TIMIS,2301,1234,1067,873,1428,0.66,0.79,0.55
TULCEA,2392,1125,1267,551,1841,2.89,2.95,2.85
VALCEA,4501,2227,2274,1440,3061,2.78,3.13,2.50
VASLUI,8697,3585,5112,705,7992,6.63,5.56,7.66
VRANCEA,4888,2117,2771,501,4387,3.58,3.31,3.82
TOTAL,224820,103725,121095,41806,183014,2.57,2.61,2.54
