JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5677,909,564,964,1269,997,974
ARAD,2126,147,94,288,560,532,505
ARGES,8270,827,597,1443,2124,1741,1538
BACAU,5091,663,317,641,1213,1166,1091
BIHOR,2933,354,190,414,695,564,716
BISTRITA NASAUD,3539,346,192,524,874,658,945
BOTOSANI,3424,333,136,370,822,840,923
BRAILA,3427,421,262,445,805,560,934
BRASOV,5998,1037,559,1167,1303,966,966
BUZAU,7786,577,331,1082,1926,2006,1864
CALARASI,3871,472,176,773,1030,608,812
CARAS-SEVERIN,2297,241,134,325,556,539,502
CLUJ,4211,468,247,751,1062,891,792
CONSTANTA,6314,790,405,817,1533,1085,1684
COVASNA,3020,757,325,514,612,446,366
DAMBOVITA,5212,765,444,790,1194,976,1043
DOLJ,16509,1950,1263,2505,4203,3548,3040
GALATI,9868,1341,849,1172,2399,1761,2346
GIURGIU,2223,398,219,297,502,423,384
GORJ,4134,404,255,586,1007,1025,857
HARGHITA,5134,899,426,1012,1230,806,761
HUNEDOARA,6016,817,487,934,1506,1341,931
IALOMITA,4155,574,317,552,982,715,1015
IASI,8125,775,380,1128,2181,1398,2263
ILFOV,934,166,65,138,224,190,151
MARAMURES,3783,623,322,711,934,664,529
MEHEDINTI,6059,675,453,751,1458,1440,1282
BUCURESTI,12369,175,897,2632,3521,3041,2103
MURES,6360,1377,651,1075,1416,788,1053
NEAMT,6806,606,292,948,1795,1598,1567
OLT,8065,1078,993,1019,1829,1618,1528
PRAHOVA,5822,725,375,838,1483,1341,1060
SALAJ,4645,667,355,1003,1138,780,702
SATU MARE,4873,666,320,1056,1370,764,697
SIBIU,4508,770,399,777,1045,655,862
SUCEAVA,10996,1417,746,2127,2865,1697,2144
TELEORMAN,9024,1113,647,1396,2151,1882,1835
TIMIS,2124,178,128,376,521,398,523
TULCEA,2827,512,336,417,547,521,494
VALCEA,4421,583,420,580,965,1041,832
VASLUI,8988,391,256,1203,2730,2319,2089
VRANCEA,4762,579,266,725,1174,1045,973
TOTAL,236726,28566,17090,37266,58754,47374,47676
